Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
7.1427e-05	2	0	0	0	64.0989
0.00507143	2	0	0	0	64.0849
0.0100714	2	0	0	0	64.0849
0.0150714	2	0	0	0	64.0849
0.0200714	2	0	0	0	64.0849
0.0250714	2	1	0	0	64.0849
0.0300714	2	1	0	0	64.0849
0.0350714	2	1	0	0	64.0849
0.0400714	2	1	0	0	64.0849
0.0450714	2	1	0	0	64.0849
0.0500714	2	1	0	0	64.0849
0.0550714	2	1	0	0	64.0849
0.0600714	2	1	0	0	64.0849
0.0650714	2	1	0	0	64.0849
0.0700714	2	1	0	0	64.0849
0.0750714	2	1	0	0	64.0849
0.0760714	2	1	0	0	64.0849
0.0800714	2	1	0	0	64.0849
0.0850714	2	1	0	0	64.0849
0.0900714	2	1	0	0	64.0849
0.0950714	2	1	0	0	64.0849
0.100071	2	1	0	0	64.0849
0.105071	2	1	0	0	63.7104
0.110071	2	1	0	0	63.7104
0.115071	2	1	0	0	63.7104
0.120071	2	1	0	0	63.7104
0.125071	2	1	0	0	63.7104
0.130071	2	1	0	0	63.7104
0.135071	2	1	0	0	63.7104
0.140071	2	1	0	0	63.7104
0.145071	2	1	0	0	63.7104
0.150071	2	1	0	0	63.7104
0.155071	2	1	0	0	63.7104
0.156071	2	1	0	0	63.7104
0.160071	2	1	0	0	63.7104
0.165071	2	1	0	0	63.7104
0.170071	2	1	0	0	63.7104
0.175071	2	1	0	0	63.7104
0.180071	2	1	0	0	63.7104
0.185071	2	1	0	0	63.7104
0.190071	2	1	0	0	63.7104
0.195071	2	1	0	0	63.7104
0.200071	2	1	0	0	63.7104
0.205071	2	1	0	0	63.7104
0.210071	2	1	0	0	63.7602
0.215071	2	1	0	0	63.7602
0.220071	2	1	0	0	63.7602
0.225071	2	1	0	0	63.7602
0.230071	2	1	0	0	63.7602
0.235071	2	1	0	0	63.7602
0.236071	2	1	0	0	63.7602
0.240071	2	1	0	0	63.7602
0.245071	2	1	0	0	63.7602
0.250071	2	1	0	0	63.7602
0.255071	2	1	0	0	63.7602
0.260071	2	1	0	0	63.7602
0.265071	2	1	0	0	63.7602
0.270071	2	1	0	0	63.7602
0.275071	2	1	0	0	63.7602
0.280071	2	1	0	0	63.7602
0.285071	2	1	0	0	63.7602
0.290071	2	1	0	0	63.7602
0.295071	2	1	0	0	63.7602
0.300071	2	1	0	0	63.7602
0.305071	2	1	0	0	63.7602
0.310071	2	1	0	0	63.7602
0.315071	2	1	0	0	56.6789
0.316071	2	1	0	0	56.6789
0.320071	2	1	0	0	56.6789
0.325071	2	1	0	0	56.6789
0.330071	2	1	0	0	56.6789
